x,y,z,time,signal
-0.6552734375,-0.0185546875,0.840576171875,255225,0
-0.659912109375,-0.020751953125,0.858154296875,255326,0
-0.659912109375,-0.020751953125,0.858154296875,255326,0
-0.659912109375,-0.020751953125,0.858154296875,255326,0
-0.65478515625,-0.023193359375,0.850830078125,255427,0
-0.65478515625,-0.023193359375,0.850830078125,255427,0
-0.65478515625,-0.023193359375,0.850830078125,255427,0
-0.7861328125,0.0439453125,0.810546875,255528,0
-0.7861328125,0.0439453125,0.810546875,255528,0
-0.7861328125,0.0439453125,0.810546875,255528,0
-1.103759765625,0.52734375,0.400390625,255629,0
-1.103759765625,0.52734375,0.400390625,255629,0
-1.103759765625,0.52734375,0.400390625,255629,0
-1.447998046875,0.34375,1.21875,255730,1
-1.447998046875,0.34375,1.21875,255730,1
-1.447998046875,0.34375,1.21875,255730,1
-0.71435546875,-0.467041015625,1.65673828125,255831,1
-0.71435546875,-0.467041015625,1.65673828125,255831,1
-0.71435546875,-0.467041015625,1.65673828125,255831,1
-0.374267578125,-0.777587890625,1.577392578125,255932,1
-0.374267578125,-0.777587890625,1.577392578125,255932,1
-0.374267578125,-0.777587890625,1.577392578125,255932,1
-0.625244140625,-0.51904296875,0.866943359375,256033,0
-0.625244140625,-0.51904296875,0.866943359375,256033,0
-0.625244140625,-0.51904296875,0.866943359375,256033,0
-1.50830078125,0.1484375,-0.671875,256134,1
-1.50830078125,0.1484375,-0.671875,256134,1
-1.50830078125,0.1484375,-0.671875,256134,1
-0.88232421875,0.673583984375,-0.024658203125,256235,0
-0.88232421875,0.673583984375,-0.024658203125,256235,0
-0.88232421875,0.673583984375,-0.024658203125,256235,0
-0.819580078125,0.539794921875,0.50146484375,256336,0
-0.819580078125,0.539794921875,0.50146484375,256336,0
-0.819580078125,0.539794921875,0.50146484375,256336,0
-0.802001953125,0.969970703125,1.1171875,256437,0
-0.802001953125,0.969970703125,1.1171875,256437,0
-0.802001953125,0.969970703125,1.1171875,256437,0
-1.7802734375,0.0009765625,1.990478515625,256538,1
-1.7802734375,0.0009765625,1.990478515625,256538,1
-1.7802734375,0.0009765625,1.990478515625,256538,1
-0.83642578125,0.74658203125,1.82861328125,256639,1
-0.83642578125,0.74658203125,1.82861328125,256639,1
-0.83642578125,0.74658203125,1.82861328125,256639,1
-0.431396484375,-0.192626953125,0.812744140625,256740,0
-0.431396484375,-0.192626953125,0.812744140625,256740,0
-0.431396484375,-0.192626953125,0.812744140625,256740,0
-0.2255859375,-0.44482421875,0.299072265625,256841,-1
-0.2255859375,-0.44482421875,0.299072265625,256841,-1
-0.2255859375,-0.44482421875,0.299072265625,256841,-1
-0.191650390625,0.271240234375,0.120849609375,256942,-1
-0.191650390625,0.271240234375,0.120849609375,256942,-1
-0.191650390625,0.271240234375,0.120849609375,256942,-1
-1.057861328125,0.477294921875,0.896484375,257043,0
-1.057861328125,0.477294921875,0.896484375,257043,0
-1.057861328125,0.477294921875,0.896484375,257043,0
-2,0.70849609375,1.462890625,257144,1
-2,0.70849609375,1.462890625,257144,1
-2,0.70849609375,1.462890625,257144,1
-0.242431640625,0.88427734375,1.224365234375,257245,0
-0.242431640625,0.88427734375,1.224365234375,257245,0
-0.242431640625,0.88427734375,1.224365234375,257245,0
